代码 名称最新价 涨跌额 涨跌幅 买入 卖出 昨收 今开 最高 最低 成交量/手 成交额/万 
sh600000 浦发银行↑12.83 +0.03 +0.234% 12.82 12.83 12.80 12.81 12.99 12.78 597,184 76,780.62 
sh600004 白云机场18.10 +0.63 +3.606% 18.10 18.11 17.47 17.50 18.12 17.47 257,322 46,065.79 
sh600006 东风汽车↓5.68 +0.06 +1.068% 5.68 5.69 5.62 5.61 5.70 5.59 70,891 4,008.72 
sh600007 中国国贸20.88 +0.42 +2.053% 20.86 20.88 20.46 20.45 20.98 20.38 9,433 1,959.05 
sh600008 首创股份↓7.11 +0.51 +7.727% 7.11 7.12 6.60 6.58 7.26 6.57 4,289,004 301,218.20 
sh600009 上海机场37.51 -0.06 -0.160% 37.51 37.52 37.57 37.48 37.76 37.10 89,782 33,530.51 
sh600010 包钢股份↓2.18 +0.02 +0.926% 2.18 2.19 2.16 2.17 2.20 2.16 798,602 17,412.72 
sh600011 华能国际8.08 0.00 0.000% 8.07 8.08 8.08 8.07 8.21 8.02 191,899 15,571.24 
sh600012 皖通高速12.71 +0.15 +1.194% 12.70 12.71 12.56 12.62 12.74 12.48 34,829 4,407.45 
sh600015 华夏银行↑10.79 +0.09 +0.841% 10.78 10.79 10.70 10.68 10.83 10.68 313,744 33,793.50 
sh600016 民生银行8.02 +0.09 +1.135% 8.01 8.02 7.93 7.93 8.04 7.92 1,040,350 83,251.52 
sh600017 日照港↓4.40 +0.06 +1.382% 4.40 4.41 4.34 4.33 4.42 4.31 394,662 17,285.50 
sh600018 上港集团6.19 0.00 0.000% 6.18 6.19 6.19 6.20 6.23 6.16 237,852 14,723.68 
sh600019 宝钢股份↑6.42 +0.06 +0.943% 6.41 6.42 6.36 6.36 6.44 6.32 515,106 32,873.32 
sh600020 中原高速4.96 +0.02 +0.405% 4.96 4.97 4.94 4.93 4.97 4.91 285,233 14,109.10 
sh600021 上海电力↑13.07 -0.01 -0.076% 13.06 13.07 13.08 13.09 13.15 13.00 94,890 12,396.38 
sh600022 山东钢铁↓2.64 +0.01 +0.380% 2.64 2.65 2.63 2.62 2.65 2.62 396,997 10,462.62 
sh600023 浙能电力5.69 -0.01 -0.175% 5.68 5.69 5.70 5.70 5.72 5.63 381,971 21,645.29 
sh600026 中远海能↓6.36 +0.06 +0.952% 6.36 6.37 6.30 6.30 6.38 6.29 132,523 8,413.58 
sh600027 华电国际↓5.06 -0.04 -0.784% 5.05 5.06 5.10 5.10 5.13 5.03 197,720 10,013.53 
sh600028 中国石化6.09 0.00 0.000% 6.08 6.09 6.09 6.10 6.14 6.05 1,248,372 75,980.70 
sh600029 南方航空8.68 -0.08 -0.913% 8.68 8.69 8.76 8.70 8.86 8.63 720,269 63,010.53 
sh600030 中信证券↓16.36 +0.11 +0.677% 16.36 16.37 16.25 16.26 16.48 16.23 753,591 123,424.99 
sh600031 三一重工↑6.96 +0.11 +1.606% 6.95 6.96 6.85 6.84 6.96 6.82 247,336 17,102.69 
sh600033 福建高速↓3.88 +0.05 +1.305% 3.88 3.89 3.83 3.83 3.89 3.82 279,874 10,825.59 
sh600035 楚天高速↓5.53 +0.05 +0.912% 5.53 5.54 5.48 5.50 5.54 5.45 25,675 1,413.56 
sh600036 招商银行↑22.52 +0.59 +2.690% 22.51 22.52 21.93 22.02 22.58 21.95 914,832 204,754.47 
sh600037 歌华有线↓14.33 +0.26 +1.848% 14.34 14.35 14.07 14.07 14.36 14.02 45,683 6,493.59 
sh600038 中直股份↓42.61 +0.66 +1.573% 42.61 42.62 41.95 41.99 42.80 41.99 50,847 21,577.06 
sh600039 四川路桥4.09 +0.05 +1.238% 4.08 4.09 4.04 4.04 4.09 4.03 132,076 5,379.78 
sh600048 保利地产↓9.83 +0.01 +0.102% 9.83 9.84 9.83 9.80 9.92 9.75 808,907 79,681.50 
sh600050 中国联通7.47 0.00 0.000% 0.00 0.00 7.47 0.00 0.00 0.00 0 0.00 
sh600051 宁波联合↑9.40 +0.32 +3.524% 9.39 9.40 9.08 9.04 9.41 9.04 46,064 4,264.15 
sh600052 浙江广厦5.14 +0.09 +1.782% 5.13 5.14 5.05 5.05 5.14 5.04 32,695 1,671.74 
sh600053 九鼎投资34.04 +0.56 +1.673% 34.04 34.06 33.48 33.29 34.19 33.29 13,653 4,619.72 
sh600054 黄山旅游↓17.59 +0.26 +1.500% 17.59 17.60 17.33 17.33 17.60 17.30 13,390 2,344.11 
sh600055 万东医疗↓11.92 +0.33 +2.847% 11.92 11.93 11.59 11.64 12.00 11.57 54,605 6,411.65 
sh600056 中国医药↓25.14 +0.50 +2.029% 25.14 25.15 24.64 24.73 25.44 24.51 70,590 17,695.40 
sh600057 象屿股份↓9.86 +0.10 +1.025% 9.86 9.87 9.76 9.76 9.92 9.73 37,442 3,687.32 
sh600058 五矿发展12.25 +0.25 +2.083% 12.25 12.26 12.00 12.02 12.29 11.98 37,811 4,599.57 
